row_index,date,time,temp,weather,wind,humidity,barometer,visibility
2024-01-04 20:51,2024-01-04,20:51,0 °C,Clear.,15 km/h,40%,1021 mbar,16 km
2024-01-04 21:51,2024-01-04,21:51,-1 °C,Clear.,20 km/h,41%,1022 mbar,16 km
2024-01-04 22:51,2024-01-04,22:51,-2 °C,Clear.,19 km/h,47%,1022 mbar,16 km
2024-01-04 23:51,2024-01-04,23:51,-2 °C,Clear.,17 km/h,49%,1023 mbar,16 km
2024-01-05 00:51,2024-01-05,00:51,-2 °C,Clear.,15 km/h,49%,1023 mbar,16 km
2024-01-05 01:51,2024-01-05,01:51,-3 °C,Clear.,19 km/h,51%,1023 mbar,16 km
2024-01-05 02:51,2024-01-05,02:51,-3 °C,Clear.,24 km/h,55%,1024 mbar,16 km
2024-01-05 03:51,2024-01-05,03:51,-3 °C,Clear.,17 km/h,55%,1024 mbar,16 km
2024-01-05 04:51,2024-01-05,04:51,-3 °C,Clear.,17 km/h,53%,1024 mbar,16 km
2024-01-05 05:51,2024-01-05,05:51,-3 °C,Clear.,9 km/h,55%,1025 mbar,16 km
2024-01-05 06:51,2024-01-05,06:51,-3 °C,Clear.,7 km/h,55%,1025 mbar,16 km
2024-01-05 07:51,2024-01-05,07:51,-3 °C,Sunny.,13 km/h,55%,1026 mbar,16 km
2024-01-05 08:51,2024-01-05,08:51,-2 °C,Sunny.,13 km/h,53%,1026 mbar,16 km
2024-01-05 09:51,2024-01-05,09:51,-1 °C,Sunny.,15 km/h,47%,1027 mbar,16 km
2024-01-05 10:51,2024-01-05,10:51,0 °C,Sunny.,N/A,43%,1026 mbar,16 km
2024-01-05 11:51,2024-01-05,11:51,1 °C,Sunny.,N/A,42%,1025 mbar,16 km
2024-01-05 12:51,2024-01-05,12:51,3 °C,Sunny.,15 km/h,39%,1024 mbar,16 km
2024-01-05 13:51,2024-01-05,13:51,2 °C,Sunny.,13 km/h,38%,1024 mbar,16 km
2024-01-05 14:51,2024-01-05,14:51,3 °C,Sunny.,N/A,41%,1023 mbar,16 km
2024-01-05 15:51,2024-01-05,15:51,3 °C,Sunny.,6 km/h,41%,1024 mbar,16 km
2024-01-05 16:51,2024-01-05,16:51,2 °C,Clear.,7 km/h,42%,1023 mbar,16 km
2024-01-05 17:51,2024-01-05,17:51,2 °C,Clear.,9 km/h,42%,1023 mbar,16 km
2024-01-05 19:51,2024-01-05,19:51,2 °C,Clear.,N/A,48%,1024 mbar,16 km
2024-01-05 20:51,2024-01-05,20:51,2 °C,Clear.,11 km/h,50%,1024 mbar,16 km
2024-01-05 21:51,2024-01-05,21:51,1 °C,Clear.,N/A,52%,1023 mbar,16 km
2024-01-05 22:51,2024-01-05,22:51,1 °C,Clear.,6 km/h,54%,1023 mbar,16 km
